"pear_id","tree_id","ecotr_id","species","climate","week_5","week_6","week_7","week_8","week_9","week_10","week_11","week_12","week_13","week_14","week_15","week_16","week_17","week_18","week_19","week_20","week_21","week_22","week_23","week_24"
1,1,1,"Conference","Scenario 1",3.693859920748,3.94258959174105,4.58782395058055,4.99535315893461,5.51595171630024,5.88903295651961,5.97914204813876,6.06925113975791,6.19887422250425,7.06118190462669,7.357663580257,7.57016611888203,7.73643862596721,7.90271113305239,8.12806475567933,8.49961422670118,8.74729967589456,9.29313276912995,NA,NA
2,1,1,"Conference","Scenario 1",4.09453962439424,4.30384360408262,4.66470614293258,5.20439277999293,5.83836458982129,5.98984747795029,6.18273386395503,6.37562024995977,6.61049211648212,6.82087193653604,7.76368709146105,8.02933738403045,8.29498767659986,8.56063796916926,8.79224204885113,8.83997094971842,8.88769985058571,9.48731310779621,9.82483729317693,10.1907633084261
3,1,1,"Conference","Scenario 1",3.51464904880419,4.09279931810386,4.47252057500342,4.74248073241453,5.01244088982563,5.25150394590409,5.49097888629538,5.90226768260078,6.31355647890619,6.57136429627267,6.82917211363915,7.08697993100563,7.65677664766653,7.69058244760872,7.72438824755092,7.75819404749311,7.92162871841445,8.37962967669412,8.59876921597724,8.95537516008809
4,1,1,"Conference","Scenario 1",3.55667159443522,4.1241751433229,4.60821167077048,4.8852556567373,5.12055801381136,5.61371611970377,5.83165341939268,6.685997222504,6.71795741089331,6.74991759928262,6.78187778767192,6.81383797606123,6.92065994315818,7.23904613913714,7.56492199290627,8.02672492719564,8.488527861485,8.86934548589902,8.86934548589902,8.86934548589902
5,1,1,"Conference","Scenario 1",4.0196083666123,4.25715185217653,4.70148379035866,4.8846265584624,5.37435109583068,5.47719098433502,5.67643083125996,5.78352237947354,6.58183685707048,6.7244969036158,6.86715695016112,6.89026495402451,7.66300736333219,7.99310544060535,8.3232035178785,8.88555957800225,8.96254482394144,9.48021362311529,9.91694132860454,10.3536690340938
6,1,1,"Conference","Scenario 1",4.07480906618613,4.07808978898652,4.08137051178692,4.63753668603026,5.59086123032015,5.65418322607844,6.11203205243452,6.56988087879059,6.92292074264881,7.27596060650704,7.57751474049069,7.87906887447433,7.98972052929164,8.10037218410896,8.21102383892627,9.26441286333715,9.66120321244305,10.057993561549,10.057993561549,10.057993561549
7,1,1,"Conference","Scenario 1",4.05100175880492,4.18183262461895,4.49659257512293,4.85997019813,5.0213861957337,5.18280219333739,5.49170455933458,6.14204135205621,6.42021084071324,6.69838032937027,6.9765498180273,7.0278360089437,7.07912219986011,7.3998394813435,8.00286852132864,8.16926317400954,8.84274415085581,8.87229755212516,8.95653075322873,9.44143434085773
8,1,1,"Conference","Scenario 1",4.11622462335232,4.44589987139977,4.77557511944723,5.01785270108459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,1,"Conference","Scenario 1",3.54514020148667,3.906564654527,4.46385343372896,4.74511648324529,5.02637953276162,5.43191150484287,5.78462081622098,6.13733012759909,6.47178741998421,6.73708310493274,6.93802787897198,7.05778917471919,7.17755047046639,7.36449265631149,7.85450240517148,8.2374651738258,8.42914767407492,8.62083017432404,9.46375874003323,9.46375874003323
10,1,1,"Conference","Scenario 1",3.93390652998546,4.44085852223806,4.53180818047662,4.62275783871517,5.80475239533425,5.80988627381035,5.81502015228645,5.82015403076256,6.37533443764521,6.53318427510732,6.69103411256943,7.07619333603926,7.97930401878953,8.0690634886293,8.15882295846906,8.34639181218424,8.53396066589942,8.81993972389606,9.61657471716782,9.61657471716782
11,1,1,"Conference","Scenario 1",3.98479031691725,4.9481098681877,5.18315748329759,5.26432196921524,5.34548645513288,5.42665094105053,5.5938824898019,5.79456865309776,6.61067652312071,7.03962072866029,7.2810665455056,7.52251236235092,7.5854511543562,8.01977587708271,8.43364459381733,8.44921844489109,8.45933730020016,9.27564963604199,9.35309936221948,9.43054908839698
12,1,1,"Conference","Scenario 1",4.21048075382252,4.36919764511815,4.69468759063449,5.02017753615083,5.74635983813852,6.24820869492902,6.34146047791235,6.71217405649,7.08288763506766,7.31893444565167,7.53224108687462,7.74554772809756,7.9092731275108,8.07299852692403,8.42749135098672,8.60686916939598,9.46603089555349,9.81616017649118,10.130183670556,10.130183670556
13,1,1,"Conference","Scenario 1",3.90124414840506,4.18785773663584,4.57717158217047,5.38671853543882,5.71749068400428,5.94531193089029,6.17313317777629,6.40095442466229,6.74754486375409,7.09413530284589,7.60284774123445,7.74326483061982,7.88368192000519,8.66526676289412,8.96781111913014,9.27035547536616,9.47878794053597,9.79292719848287,10.0525030672531,10.3120789360233
14,1,1,"Conference","Scenario 1",2.75290924189576,4.10444226488458,4.29136518948897,4.69397364434387,4.94774865442535,5.39627748653632,5.84480631864729,6.07168855655241,6.29857079445753,6.57279585511871,6.70508123691534,7.09898248906773,7.55917012814043,7.64215785533347,7.72514558252651,8.15248085228911,8.39036036276456,8.89294388028951,9.31292693585659,9.83281650034654
15,1,1,"Conference","Scenario 1",3.72434903115488,4.26464738824871,4.61996446589903,5.1216604605021,5.62335645510517,5.83021518749831,6.03707391989145,6.24393265228459,6.42315352903427,6.60237440578395,6.99642932419604,7.39048424260812,7.68210315349924,8.43849154827262,8.47579841409316,8.51310527991368,9.24868275865291,9.4008539178657,9.55302507707849,9.69406916126499
16,1,1,"Conference","Scenario 1",3.87657556527161,4.72751180109834,4.97795981337836,5.24284053820781,5.3792795226564,5.515718507105,5.81316195566718,6.11060540422937,6.30807131612641,6.91219057545908,7.22768380146109,7.72460446525765,8.47277829222536,8.62884402325046,8.78490975427556,9.10259861149853,9.53338340956837,9.96416820763822,9.96416820763822,9.96416820763822
17,1,1,"Conference","Scenario 1",3.90730063773078,4.74595294094203,4.98600404467391,5.22605514840579,5.5005341038313,5.77501305925681,5.96229361636871,6.14957417348061,6.32377017231494,6.49796617114927,6.58017798601242,7.37184695908542,7.65035422642218,7.92886149375894,8.59504457201128,8.66189979723168,8.72875502245208,8.85531570790026,9.03878239069441,9.76064225872659
18,1,1,"Conference","Scenario 1",4.38229895414623,4.5945892061099,4.80687945807357,5.01916971003725,5.20536470308329,5.50073971713289,5.95048377107569,6.40022782501849,6.56634257178851,6.73245731855851,7.36827233858988,7.54867051364538,7.72906868870088,8.67654021614296,8.69819923809515,8.71985826004734,8.74151728199953,9.44796645443927,9.47480197078652,9.50163748713377
19,1,1,"Conference","Scenario 1",4.40699478154842,4.49589042535835,4.58478606916827,4.60057707055225,5.53535882489426,5.61786252042039,5.70036621594652,6.16348346963436,6.80019565084244,6.81908114213341,6.83796663342438,7.54743179789975,7.59786432263073,7.64829684736172,8.44190524984038,8.54385116463003,8.61698128037854,9.3931004720237,9.6331479744752,9.6331479744752
20,1,1,"Conference","Scenario 1",4.02347727740756,4.92198472832295,4.96065471485602,5.0209582659921,5.08126181712818,5.24869677359507,5.36404744169872,6.0823255411211,6.47727575641091,6.87222597170071,6.99581684398924,7.35054276286893,7.62301235459371,8.14020246128365,8.65739256797359,8.73528600505066,8.81219657238045,8.88910713971023,9.4127390708985,9.4127390708985
21,1,1,"Conference","Scenario 1",3.61888255072824,4.37569482720813,4.43133136746687,4.48696790772561,5.33513336325379,5.58183580906965,5.8285382548855,6.07524070070136,6.71226248778233,6.78118664834609,6.85011080890985,6.91903496947362,7.35091436678163,7.54021786183374,8.07805781414767,8.08864353871121,8.33130341174555,8.97395859092301,9.39940870838286,9.39940870838286
